model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5,rule 6
AirplaneLD-COL-0010,1,TRUE,NONE,0.000177,0.000288,8e-05,0.0,3716,TRUE,2,20,15,13,15,17,6,5,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,2,FALSE,NONE,0.000152,0.000152,7.6e-05,0.0,3700,TRUE,1,20,15,12,15,14,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,3,FALSE,NONE,3.4e-05,6.5e-05,5.1e-05,0.0,3704,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AirplaneLD-COL-0010,4,FALSE,NONE,0.000124,0.000298,9.9e-05,0.0,3744,TRUE,0,20,15,13,13,19,14,9,9,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,5,TRUE,NONE,6.6e-05,0.000265,0.000175,0.0,4168,TRUE,0,20,15,16,12,24,24,16,20,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0010,6,FALSE,NONE,8.5e-05,0.000168,6.4e-05,0.0,4096,TRUE,0,20,15,15,15,21,9,9,4,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-0010,7,FALSE,NONE,0.000126,0.000174,5.9e-05,0.0,4128,TRUE,0,20,15,13,15,15,8,11,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,8,FALSE,NONE,8.8e-05,0.000295,0.000106,0.0,4196,TRUE,0,20,15,16,15,24,27,23,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0010,9,TRUE,NONE,8.3e-05,0.000192,7.6e-05,0.0,3728,TRUE,8,20,15,12,11,16,12,8,4,1,1,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,10,TRUE,NONE,0.000104,6.9e-05,4.6e-05,0.0,3708,TRUE,1,20,15,10,12,10,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,11,TRUE,NONE,3.3e-05,7.3e-05,4.2e-05,0.0,3704,TRUE,2,20,15,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.000106,0.000356,0.000179,0.0,4168,TRUE,0,20,15,16,15,24,27,21,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0010,13,FALSE,NONE,8.3e-05,0.000156,6.1e-05,0.0,4084,TRUE,0,20,15,11,10,15,10,6,5,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,14,TRUE,NONE,0.000133,8.5e-05,5.4e-05,0.0,3696,TRUE,1,20,15,8,10,8,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,15,TRUE,NONE,0.000167,0.000335,0.000129,0.0,4116,TRUE,0,20,15,15,15,21,14,10,9,0,1,0,4,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0010,16,TRUE,NONE,0.000167,0.000229,0.000111,0.0,4112,TRUE,0,20,15,13,15,15,8,9,7,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,1,TRUE,NONE,0.000137,0.000165,9.1e-05,0.0,3712,TRUE,2,20,15,13,15,17,6,4,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,2,FALSE,NONE,0.000155,9.3e-05,5.8e-05,0.0,3700,TRUE,1,20,15,11,15,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,3,TRUE,NONE,0.000102,0.000206,0.000102,0.0,4104,TRUE,16,20,15,15,11,21,9,7,5,0,0,0,4,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,4,TRUE,NONE,0.000137,0.000132,4.8e-05,0.0,3700,TRUE,1,20,15,10,12,10,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,5,TRUE,NONE,6.6e-05,5.9e-05,5.1e-05,0.0,3700,TRUE,1,20,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
AirplaneLD-COL-0020,6,FALSE,NONE,8.5e-05,5e-05,5.3e-05,0.0,3700,TRUE,1,20,15,8,9,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,7,FALSE,NONE,0.000133,0.000246,0.000134,0.0,4208,TRUE,0,20,15,17,15,25,27,22,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0020,8,FALSE,NONE,4.5e-05,6.2e-05,4.4e-05,0.0,3696,TRUE,1,20,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0020,9,TRUE,NONE,6.8e-05,0.000233,0.000128,0.0,4168,TRUE,0,20,15,12,13,18,24,17,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0020,10,FALSE,NONE,5.4e-05,0.000244,9.9e-05,0.0,4164,TRUE,0,20,15,15,12,23,24,16,19,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0020,11,TRUE,NONE,4.8e-05,5.2e-05,5.1e-05,0.0,3708,TRUE,1,20,15,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.00016,9.4e-05,4.1e-05,0.0,3700,TRUE,1,20,15,11,15,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,13,FALSE,NONE,0.000147,0.000194,5.9e-05,0.0,4104,TRUE,0,20,15,13,15,15,8,10,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,14,FALSE,NONE,0.00014,0.000183,6.3e-05,0.0,3708,TRUE,1,20,15,11,14,13,3,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,15,TRUE,NONE,0.000197,0.000241,7.2e-05,0.0,4112,TRUE,16,20,15,15,15,21,9,13,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0020,16,TRUE,NONE,9.2e-05,9.7e-05,5.7e-05,0.0,4060,TRUE,2,20,15,6,6,6,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,1,FALSE,NONE,8.7e-05,8.2e-05,5.2e-05,0.0,4044,TRUE,2,20,15,6,6,6,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,2,TRUE,NONE,7.5e-05,6.9e-05,5.2e-05,0.0,3700,TRUE,1,20,15,5,6,5,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,3,FALSE,NONE,0.000151,0.000157,6.9e-05,0.0,3716,TRUE,4,20,15,13,15,15,3,7,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,4,FALSE,NONE,0.000108,0.00013,6.1e-05,0.0,3700,TRUE,1,20,15,7,7,9,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,5,TRUE,NONE,9.6e-05,0.000151,9.1e-05,0.0,3720,TRUE,4,20,15,9,8,11,7,5,3,1,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0
AirplaneLD-COL-0050,6,FALSE,NONE,0.000129,0.00019,7.7e-05,0.0,3712,TRUE,2,20,15,12,11,14,6,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,7,FALSE,NONE,8.6e-05,0.000137,6.7e-05,0.0,3708,TRUE,2,20,15,12,11,16,6,2,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,8,FALSE,NONE,9.1e-05,4.7e-05,4.9e-05,0.0,3700,TRUE,1,20,15,4,5,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,9,TRUE,NONE,9.5e-05,0.000171,7.5e-05,0.0,4108,TRUE,0,20,15,8,9,10,8,8,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,10,FALSE,NONE,6.6e-05,2.6e-05,4.1e-05,0.0,3700,TRUE,1,20,15,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,11,TRUE,NONE,0.000113,7.6e-05,5.5e-05,0.0,3696,TRUE,1,20,15,10,12,10,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,12,FALSE,NONE,8.1e-05,3.5e-05,5e-05,0.0,3696,TRUE,1,20,15,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,13,TRUE,NONE,8e-05,0.00011,6.8e-05,0.0,4100,TRUE,0,20,15,10,10,12,5,7,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,14,TRUE,NONE,0.000137,8e-05,3.7e-05,0.0,3704,TRUE,1,20,15,11,15,11,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,15,TRUE,NONE,0.000114,0.000206,7.3e-05,0.002022,5888,FALSE,0,20,15,14,15,18,15,12,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0050,16,TRUE,NONE,3.7e-05,5.1e-05,3.9e-05,0.0,3696,TRUE,1,20,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0100,1,FALSE,NONE,0.000112,8.6e-05,5.1e-05,0.0,3696,TRUE,1,20,15,8,9,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,2,TRUE,NONE,5.1e-05,5.4e-05,4e-05,0.0,3708,TRUE,1,20,15,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
AirplaneLD-COL-0100,3,FALSE,NONE,0.000113,0.000114,5.7e-05,0.0,3708,TRUE,2,20,15,6,6,6,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,4,TRUE,NONE,0.000119,8e-05,6.2e-05,0.0,3704,TRUE,1,20,15,8,11,8,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,5,FALSE,NONE,9.7e-05,5.2e-05,5.6e-05,0.0,3696,TRUE,1,20,15,6,7,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,6,FALSE,NONE,6.7e-05,0.000264,9.6e-05,0.003167,5888,FALSE,0,20,15,14,13,20,24,19,20,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0100,7,FALSE,NONE,0.000102,8.6e-05,6.1e-05,0.0,3704,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
AirplaneLD-COL-0100,8,FALSE,NONE,5.2e-05,0.000111,6.4e-05,0.0,4084,TRUE,0,20,15,9,7,11,9,6,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0100,9,TRUE,NONE,0.000133,0.000172,5.3e-05,0.0,4108,TRUE,0,20,15,13,15,15,8,9,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,10,FALSE,NONE,7.5e-05,5.7e-05,4e-05,0.0,3704,TRUE,1,20,15,3,4,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,11,FALSE,NONE,0.000107,6.4e-05,6.3e-05,0.0,3700,TRUE,1,20,15,8,9,8,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,12,FALSE,NONE,8.2e-05,0.000131,5.7e-05,0.0,4108,TRUE,0,20,15,9,10,11,9,9,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,13,FALSE,NONE,7e-05,3.4e-05,3.5e-05,0.0,3696,TRUE,1,20,15,4,5,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,14,FALSE,NONE,9.5e-05,0.00016,4.4e-05,0.0,3720,TRUE,0,20,15,11,12,13,7,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0100,15,TRUE,NONE,0.000128,0.000495,0.00015,0.0,4204,TRUE,0,20,15,18,15,26,27,24,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0100,16,TRUE,NONE,0.000142,0.000185,5.5e-05,0.0,4124,TRUE,0,20,15,13,15,15,8,11,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,1,FALSE,NONE,0.000141,0.000303,0.000102,0.0,3760,TRUE,0,20,15,15,15,19,15,12,11,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,2,TRUE,NONE,6e-05,0.000298,8.5e-05,0.0,4192,TRUE,0,20,15,14,13,22,25,20,23,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0200,3,FALSE,NONE,0.000107,7.3e-05,4.8e-05,0.0,3700,TRUE,1,20,15,10,11,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,4,TRUE,NONE,9.7e-05,6.4e-05,5.3e-05,0.0,3696,TRUE,1,20,15,10,11,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,5,TRUE,NONE,0.000134,0.00022,6.6e-05,0.002396,5888,FALSE,0,20,15,11,13,13,8,8,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,6,TRUE,NONE,0.00011,6e-05,3.9e-05,0.0,3700,TRUE,1,20,15,10,11,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,7,FALSE,NONE,7.8e-05,9.4e-05,4.7e-05,0.0,4092,TRUE,4,20,15,5,4,6,5,5,4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
AirplaneLD-COL-0200,8,FALSE,NONE,9.5e-05,5e-05,3.8e-05,0.0,3700,TRUE,1,20,15,6,7,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,9,FALSE,NONE,9.2e-05,5.7e-05,3.8e-05,0.0,3704,TRUE,1,20,15,10,11,10,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,10,FALSE,NONE,5.5e-05,5e-05,5e-05,0.0,3700,TRUE,1,20,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
AirplaneLD-COL-0200,11,FALSE,NONE,8.5e-05,0.000228,0.000102,0.0,4096,TRUE,8,20,15,14,13,20,13,7,5,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,12,TRUE,NONE,5.1e-05,6.7e-05,5.5e-05,0.0,3704,TRUE,2,20,15,3,2,3,2,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0
AirplaneLD-COL-0200,13,TRUE,NONE,5.1e-05,8e-05,4.8e-05,0.0,3704,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AirplaneLD-COL-0200,14,FALSE,NONE,3.9e-05,6.4e-05,4.7e-05,0.0,3704,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AirplaneLD-COL-0200,15,FALSE,NONE,0.000139,0.000265,0.000113,0.0,4144,TRUE,0,20,15,16,15,22,14,14,12,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0200,16,FALSE,NONE,7.9e-05,0.000149,7.1e-05,0.0,3724,TRUE,0,20,15,10,11,14,13,6,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,1,FALSE,NONE,0.010722,0.056425,7.1e-05,0.0,4012,TRUE,2,20,15,12,11,14,6,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,2,TRUE,NONE,6.9e-05,0.000389,0.000214,0.0,4172,TRUE,0,20,15,18,15,26,27,21,20,0,4,0,3,0,0,0,0,1,0,0,0,0,0,1,0
AirplaneLD-COL-0500,3,TRUE,NONE,0.000105,7.4e-05,5.9e-05,0.0,3696,TRUE,1,20,15,10,11,10,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,4,FALSE,NONE,0.000117,0.000273,0.000107,0.0,4116,TRUE,0,20,15,15,15,19,15,11,10,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,5,TRUE,NONE,0.000122,0.000172,5.3e-05,0.0,4088,TRUE,0,20,15,12,15,14,8,10,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,6,TRUE,NONE,0.000127,0.000165,5.6e-05,0.0,4116,TRUE,17,20,15,14,15,16,8,12,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,7,FALSE,NONE,0.000152,0.000174,4.8e-05,0.0,4040,TRUE,2,20,15,13,15,15,3,2,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,8,TRUE,NONE,0.000132,0.000153,7.7e-05,0.0,4092,TRUE,4,20,15,13,15,15,3,9,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,9,FALSE,NONE,0.000119,0.000255,6.4e-05,0.0,4156,TRUE,0,20,15,14,15,20,14,17,14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,10,FALSE,NONE,0.000101,0.000153,6.1e-05,0.0,3712,TRUE,2,20,15,13,15,17,6,5,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,11,FALSE,NONE,3.7e-05,8e-05,3.9e-05,0.0,3696,TRUE,2,20,15,2,2,2,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0500,12,TRUE,NONE,7.8e-05,4.5e-05,3.6e-05,0.0,3692,TRUE,1,20,15,6,7,6,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,13,TRUE,NONE,3.3e-05,5e-05,3.7e-05,0.0,3696,TRUE,1,20,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0500,14,FALSE,NONE,8.7e-05,0.000128,4.6e-05,0.0,3712,TRUE,1,20,15,9,12,11,3,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-0500,15,TRUE,NONE,5e-05,9.7e-05,6.2e-05,0.0,3712,TRUE,0,20,15,3,4,4,6,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-0500,16,TRUE,NONE,8e-05,0.000138,4.9e-05,0.0,4100,TRUE,0,20,15,8,8,10,7,8,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,1,TRUE,NONE,0.010732,0.056458,8.1e-05,0.0,3712,TRUE,0,20,15,13,12,17,13,9,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,2,FALSE,NONE,3.9e-05,6.5e-05,3.7e-05,0.0,3700,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AirplaneLD-COL-1000,3,TRUE,NONE,0.000145,0.00017,0.000107,0.0,3716,TRUE,2,20,15,13,15,15,3,5,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,4,FALSE,NONE,0.000135,0.000199,7.4e-05,0.0,4060,TRUE,2,20,15,13,15,17,6,4,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,5,TRUE,NONE,3.2e-05,5.1e-05,4.4e-05,0.0,3692,TRUE,1,20,15,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-1000,6,FALSE,NONE,9.5e-05,0.000187,5.3e-05,0.0,3708,TRUE,2,20,15,12,13,16,6,4,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,7,FALSE,NONE,0.000113,0.000163,4.7e-05,0.0,3716,TRUE,4,20,15,13,15,17,6,7,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,8,TRUE,NONE,0.000145,0.000164,6.4e-05,0.0,3712,TRUE,0,20,15,12,15,14,3,6,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,9,TRUE,NONE,9e-05,0.000177,8.7e-05,0.0,3720,TRUE,0,20,15,12,12,16,9,8,5,0,0,0,4,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,10,FALSE,NONE,9.2e-05,0.000171,5.6e-05,0.0,4092,TRUE,0,20,15,9,8,11,4,5,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,11,TRUE,NONE,9.2e-05,0.000303,0.000175,0.0,3804,TRUE,0,20,15,16,15,24,27,22,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-1000,12,TRUE,NONE,6.4e-05,3.5e-05,3.8e-05,0.0,3696,TRUE,1,20,15,4,5,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,13,TRUE,NONE,7.1e-05,0.000337,0.00013,0.0,3800,TRUE,0,20,15,14,14,22,26,20,25,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-1000,14,TRUE,NONE,8.5e-05,4.8e-05,5.2e-05,0.0,3700,TRUE,1,20,15,6,8,6,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-1000,15,FALSE,NONE,6.5e-05,0.000195,9.3e-05,0.00288,5884,FALSE,0,20,15,9,7,13,13,9,9,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-1000,16,FALSE,NONE,0.000147,0.000303,0.000114,0.0,3804,TRUE,0,20,15,16,15,24,27,21,25,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-2000,1,TRUE,NONE,0.000147,0.000204,7.8e-05,0.0,3688,TRUE,2,20,15,13,15,15,3,3,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,2,TRUE,NONE,0.000141,0.00024,0.000115,0.0,3736,TRUE,0,20,15,15,15,21,14,15,10,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,3,TRUE,NONE,9.7e-05,0.0003,7.7e-05,0.0,3724,TRUE,4,20,15,13,13,19,9,10,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,4,TRUE,NONE,0.000113,0.000246,7.7e-05,0.0,4140,TRUE,0,20,15,16,15,22,14,15,12,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,5,FALSE,NONE,6.2e-05,0.000136,5.2e-05,0.0,3736,TRUE,0,20,15,7,7,9,9,8,9,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-2000,6,FALSE,NONE,3.7e-05,5.8e-05,4e-05,0.0,3692,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AirplaneLD-COL-2000,7,TRUE,NONE,6.2e-05,2.3e-05,3.2e-05,0.0,3696,TRUE,1,20,15,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,8,FALSE,NONE,3.5e-05,6.8e-05,5.4e-05,0.0,3700,TRUE,2,20,15,2,1,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
AirplaneLD-COL-2000,9,FALSE,NONE,0.000123,6.4e-05,5.3e-05,0.0,3692,TRUE,1,20,15,11,15,11,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,10,TRUE,NONE,0.000122,0.000185,6.5e-05,0.0,4072,TRUE,2,20,15,13,15,17,6,7,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,11,TRUE,NONE,5.5e-05,0.000127,5.1e-05,0.0,4080,TRUE,0,20,15,8,6,10,8,7,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-2000,12,TRUE,NONE,9e-05,0.000253,8.4e-05,0.002877,5884,FALSE,0,20,15,14,13,20,13,12,11,0,0,0,2,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,13,TRUE,NONE,0.000103,6.3e-05,5.4e-05,0.0,3696,TRUE,1,20,15,10,12,10,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,14,TRUE,NONE,8.5e-05,0.000409,0.000146,0.002796,6148,FALSE,0,20,15,17,15,25,27,23,26,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-2000,15,FALSE,NONE,6.1e-05,3.3e-05,5.1e-05,0.0,3692,TRUE,1,20,15,4,5,4,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-2000,16,TRUE,NONE,5.3e-05,0.000117,9.2e-05,0.0,4076,TRUE,8,20,15,8,6,10,8,5,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
AirplaneLD-COL-4000,1,TRUE,NONE,0.000167,8.7e-05,5.3e-05,0.0,3676,TRUE,1,20,15,8,10,8,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
AirplaneLD-COL-4000,2,FALSE,NONE,9e-05,0.000266,0.000114,0.003135,5868,FALSE,0,20,15,16,15,22,14,14,10,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0
AirplaneLD-COL-4000,3,TRUE,NONE,0.000104,0.000167,7e-05,0.0,3716,TRUE,0,20,15,9,12,11,6,7,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
