model name,query index,answer,crash,colored reduce time,unfold time,reduce time,verification time,verification memory,solved by query simplification,state space size,original place count,original transition count,colored reduce place count,colored reduce transition count,unfolded place count,unfolded transition count,reduced place count,reduced transition count,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule 0,rule 1,rule 2,rule 3,rule 4,rule 5
AirplaneLD-COL-0010,1,FALSE,NONE,0.0,0.000282,4.9e-05,0.0,4212,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,2,NONE,V,0.0,0.000289,5.1e-05,0.0,4356,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,3,NONE,V,0.0,0.000287,4.8e-05,0.0,4356,FALSE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,4,TRUE,NONE,0.0,0.000288,8e-05,0.0,4204,TRUE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,5,TRUE,NONE,0.0,0.000276,5.5e-05,0.0,4216,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,6,TRUE,NONE,0.0,0.000288,5.1e-05,0.0,4220,TRUE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,7,FALSE,NONE,0.0,0.000273,5e-05,0.0,3844,TRUE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,8,TRUE,NONE,0.0,0.000284,5.6e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,9,TRUE,NONE,0.0,0.000291,5.1e-05,0.038388,58284,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,10,NONE,V,0.0,0.000276,5e-05,0.0,4364,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,11,TRUE,NONE,0.0,0.000281,4.9e-05,0.0,4244,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,12,TRUE,NONE,0.0,0.000284,5.1e-05,0.0,4224,TRUE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,13,TRUE,NONE,0.0,0.000277,8.6e-05,0.0,4216,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,14,NONE,V,0.0,0.000285,7.5e-05,0.0,4368,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,15,FALSE,NONE,0.0,0.000282,5.7e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0010,16,TRUE,NONE,0.0,0.000278,7.3e-05,0.001257,5900,FALSE,1129,20,15,20,15,28,27,27,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,1,FALSE,NONE,0.0,0.000281,5.6e-05,0.067844,147608,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,2,TRUE,NONE,0.0,0.000282,5.1e-05,0.037864,58284,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,3,FALSE,NONE,0.0,0.000283,5e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,26,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,4,NONE,V,0.0,0.000282,5.1e-05,0.0,4360,FALSE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,5,FALSE,NONE,0.0,0.000282,4.5e-05,0.0,4232,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,6,FALSE,NONE,0.0,0.000289,5.3e-05,0.0,4212,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,7,FALSE,NONE,0.0,0.000286,5.3e-05,0.0,4204,TRUE,1129,20,15,20,15,28,27,26,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,8,TRUE,NONE,0.0,0.000278,9.9e-05,0.0,4256,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,9,FALSE,NONE,0.0,0.000275,5.9e-05,0.0,4256,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,10,FALSE,NONE,0.0,0.000292,5.3e-05,0.001242,5900,FALSE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,11,FALSE,NONE,0.0,0.000271,7.4e-05,0.0,3848,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,12,FALSE,NONE,0.0,0.000278,5.5e-05,0.0,4224,TRUE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,13,TRUE,NONE,0.0,0.000287,7.7e-05,0.0,4208,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,14,NONE,V,0.0,0.000284,5.8e-05,0.0,4368,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,15,TRUE,NONE,0.0,0.000278,6.7e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0020,16,TRUE,NONE,0.0,0.000278,6.6e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,1,FALSE,NONE,0.0,0.000283,8.8e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,2,FALSE,NONE,0.0,0.000278,5e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,3,FALSE,NONE,0.0,0.000279,4.7e-05,0.062654,147588,FALSE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,4,TRUE,NONE,0.0,0.000285,7.8e-05,0.0,4208,TRUE,1129,20,15,20,15,28,27,26,26,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,5,NONE,V,0.0,0.000295,6.4e-05,0.0,4356,FALSE,1129,20,15,20,15,28,27,27,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,6,TRUE,NONE,0.0,0.000296,5e-05,0.001405,6164,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,7,TRUE,NONE,0.0,0.000285,5.5e-05,0.041256,58276,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,8,FALSE,NONE,0.0,0.000293,5.3e-05,0.03676,58288,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,9,NONE,V,0.0,0.000272,5.6e-05,0.0,4360,FALSE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,10,NONE,V,0.0,0.000278,5.5e-05,0.0,4356,FALSE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,11,FALSE,NONE,0.0,0.000296,8.8e-05,0.0,4216,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,12,FALSE,NONE,0.0,0.000286,4.9e-05,0.0,4232,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,13,FALSE,NONE,0.0,0.00029,5.6e-05,0.036326,58276,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,14,FALSE,NONE,0.0,0.000283,8.4e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,15,TRUE,NONE,0.0,0.000287,5.2e-05,0.0,4216,TRUE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0050,16,FALSE,NONE,0.0,0.000283,5e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,1,FALSE,NONE,0.0,0.000283,5.4e-05,0.0,4252,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,2,FALSE,NONE,0.0,0.000283,7.5e-05,0.0,4200,TRUE,1129,20,15,20,15,28,27,26,26,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,3,TRUE,NONE,0.0,0.000291,5.6e-05,0.0,4252,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,4,FALSE,NONE,0.0,0.000278,7.6e-05,0.0,4220,TRUE,1129,20,15,20,15,28,27,27,26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,5,TRUE,NONE,0.0,0.000283,8.6e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,27,26,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,6,FALSE,NONE,0.0,0.000222,4.3e-05,0.00123,5900,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,7,FALSE,NONE,0.0,0.000279,5.4e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,8,NONE,V,0.0,0.000291,6e-05,0.0,4368,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,9,FALSE,NONE,0.0,0.00028,5.1e-05,0.037829,58256,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,10,FALSE,NONE,0.0,0.000301,6.3e-05,0.04204,58268,FALSE,1129,20,15,20,15,28,27,26,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,11,TRUE,NONE,0.0,0.000284,6.8e-05,0.03661,58304,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,12,NONE,V,0.0,0.000292,8.2e-05,0.0,4352,FALSE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,13,FALSE,NONE,0.0,0.000282,5.4e-05,0.0,4224,TRUE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,14,TRUE,NONE,0.0,0.000278,5.5e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,15,TRUE,NONE,0.0,0.000278,6.2e-05,0.0,4252,TRUE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0100,16,FALSE,NONE,0.0,0.00023,5e-05,0.0,3844,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,1,FALSE,NONE,0.0,0.000284,8.4e-05,0.0,4212,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,2,TRUE,NONE,0.0,0.000289,3.8e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,3,TRUE,NONE,0.0,0.000229,5.2e-05,0.0,4224,TRUE,1129,20,15,20,15,28,27,26,27,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,4,FALSE,NONE,0.0,0.000289,0.000112,0.0,4236,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,5,TRUE,NONE,0.0,0.000293,4.8e-05,0.037729,58272,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,6,TRUE,NONE,0.0,0.000285,4.9e-05,0.035729,58276,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,7,FALSE,NONE,0.0,0.000284,5.1e-05,0.0,4244,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,8,FALSE,NONE,0.0,0.000289,5.9e-05,0.0,4224,TRUE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,9,NONE,V,0.0,0.000287,5.7e-05,0.0,4364,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,10,TRUE,NONE,0.0,0.000283,5.1e-05,0.0,4184,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,11,NONE,V,0.0,0.000288,5.4e-05,0.0,4364,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,12,FALSE,NONE,0.0,0.000292,4.9e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,13,TRUE,NONE,0.0,0.000283,5.5e-05,0.0,4232,TRUE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,14,TRUE,NONE,0.0,0.000283,7.7e-05,0.0,4208,TRUE,1129,20,15,20,15,28,27,26,26,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,15,FALSE,NONE,0.0,0.000289,5.9e-05,0.03718,58284,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0200,16,NONE,V,0.0,0.000282,6.5e-05,0.0,4312,FALSE,4,20,15,20,15,28,27,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-0500,1,TRUE,NONE,0.0,0.000306,3.2e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,2,FALSE,NONE,0.0,0.000311,4.6e-05,0.0,4252,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,3,FALSE,NONE,0.0,0.000317,4.8e-05,0.034963,58272,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,4,FALSE,NONE,0.0,0.000301,5e-05,0.0,4216,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,5,FALSE,NONE,0.0,0.000306,5.9e-05,0.0,4248,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,6,FALSE,NONE,0.0,0.000304,5.7e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,7,FALSE,NONE,0.0,0.00031,5.3e-05,0.0,4256,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,8,FALSE,NONE,0.0,0.000315,5.4e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,9,NONE,V,0.0,0.000308,6e-05,0.0,4364,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,10,FALSE,NONE,0.0,0.000238,8.4e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,11,FALSE,NONE,0.0,0.00031,8.2e-05,0.0,4208,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,12,TRUE,NONE,0.0,0.000298,5.3e-05,0.0,4220,TRUE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,13,FALSE,NONE,0.0,0.000309,6.9e-05,0.0,4268,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,14,FALSE,NONE,0.0,0.000237,5.9e-05,0.0,4188,TRUE,1129,20,15,20,15,28,27,24,26,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,15,FALSE,NONE,0.0,0.000245,7.4e-05,0.0,4244,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-0500,16,TRUE,NONE,0.0,0.000305,5.8e-05,0.081403,147596,FALSE,1129,20,15,20,15,28,27,24,26,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,1,FALSE,NONE,0.0,0.000157,2.8e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,2,TRUE,NONE,0.0,0.000168,3.8e-05,0.04104,58260,FALSE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,3,FALSE,NONE,0.0,0.000275,3.9e-05,0.041672,58292,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,4,TRUE,NONE,0.0,0.000274,5.1e-05,0.043817,58280,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,5,TRUE,NONE,0.0,0.000294,3.9e-05,0.0,4232,TRUE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,6,FALSE,NONE,0.0,0.000167,0.0001,0.0,4224,TRUE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-1000,7,NONE,V,0.0,0.000166,8.4e-05,0.0,4352,FALSE,1129,20,15,20,15,28,27,24,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AirplaneLD-COL-1000,8,TRUE,NONE,0.0,0.000163,4e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,9,TRUE,NONE,0.0,0.000263,5.3e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,10,TRUE,NONE,0.0,0.000269,3.7e-05,0.0,4212,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,11,FALSE,NONE,0.0,0.000274,3.2e-05,0.001355,6164,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,12,FALSE,NONE,0.0,0.000169,8.7e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,28,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,13,NONE,V,0.0,0.000165,6.2e-05,0.0,4360,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,14,TRUE,NONE,0.0,0.000266,5.1e-05,0.0,4192,TRUE,1129,20,15,20,15,28,27,23,27,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,15,FALSE,NONE,0.0,0.000172,5.3e-05,0.0,4236,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-1000,16,TRUE,NONE,0.0,0.000262,2.9e-05,0.0,4212,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,1,TRUE,NONE,0.0,0.00019,4.2e-05,0.0,4232,TRUE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,2,TRUE,NONE,0.0,0.000203,5.3e-05,0.0,4220,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,3,FALSE,NONE,0.0,0.000201,6.8e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,26,26,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,4,FALSE,NONE,0.0,0.000196,6.1e-05,0.0,4252,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,5,NONE,V,0.0,0.000182,5.6e-05,0.0,4360,FALSE,1129,20,15,20,15,28,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,6,NONE,V,0.0,0.000184,5.5e-05,0.0,4356,FALSE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,7,TRUE,NONE,0.0,0.000193,4.4e-05,0.0,4224,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,8,FALSE,NONE,0.0,0.000191,3.6e-05,0.0,4216,TRUE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,9,FALSE,NONE,0.0,0.000192,4.3e-05,0.041987,58284,FALSE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,10,TRUE,NONE,0.0,0.000188,4.9e-05,0.045213,58256,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,11,FALSE,NONE,0.0,0.00019,3.1e-05,0.0,4212,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,12,TRUE,NONE,0.0,0.00019,5.6e-05,0.0,4252,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,13,FALSE,NONE,0.0,0.000198,4.4e-05,0.0,4244,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,14,NONE,V,0.0,0.000194,5.2e-05,0.0,4364,FALSE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,15,TRUE,NONE,0.0,0.000195,4.8e-05,0.0,4196,TRUE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-2000,16,FALSE,NONE,0.0,0.000195,4.6e-05,0.0,4216,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,1,TRUE,NONE,0.0,0.000239,4.6e-05,0.0,4220,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,2,TRUE,NONE,0.0,0.000241,3.6e-05,0.0,4220,TRUE,1129,20,15,20,15,28,27,25,27,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,3,TRUE,NONE,0.0,0.000235,3.5e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,4,TRUE,NONE,0.0,0.000234,3.6e-05,0.0,3840,TRUE,1129,20,15,20,15,28,27,26,27,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,5,TRUE,NONE,0.0,0.000234,6.9e-05,0.0,4228,TRUE,1129,20,15,20,15,28,27,27,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,6,TRUE,NONE,0.0,0.000245,3.8e-05,0.041237,58236,FALSE,1129,20,15,20,15,28,27,24,27,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,7,TRUE,NONE,0.0,0.000236,3.6e-05,0.0,4240,TRUE,1129,20,15,20,15,28,27,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AirplaneLD-COL-4000,8,TRUE,NONE,0.0,0.000238,4.1e-05,0.036021,58280,FALSE,1129,20,15,20,15,28,27,27,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
